scope,sourceKind,sourcePath,objectType,count
source,bundle,assets/aa/Android/06d39d6b60055628637ecf93c282e0ed.bundle,AssetBundle,1
source,bundle,assets/aa/Android/06d39d6b60055628637ecf93c282e0ed.bundle,TextAsset,1
source,bundle,assets/aa/Android/0700ba9d3eba3d181f1948e2cafef9e0.bundle,AssetBundle,1
source,bundle,assets/aa/Android/0700ba9d3eba3d181f1948e2cafef9e0.bundle,TextAsset,1
source,bundle,assets/aa/Android/07039e3fb4f80d12cfb26702aa3be559.bundle,AssetBundle,1
source,bundle,assets/aa/Android/07039e3fb4f80d12cfb26702aa3be559.bundle,Sprite,1
source,bundle,assets/aa/Android/07039e3fb4f80d12cfb26702aa3be559.bundle,Texture2D,1
source,bundle,assets/aa/Android/07074e443fc3b813362002323ea1563f.bundle,AssetBundle,1
source,bundle,assets/aa/Android/07074e443fc3b813362002323ea1563f.bundle,TextAsset,1
source,bundle,assets/aa/Android/0712216814a196703e86303457294400.bundle,AssetBundle,1
source,bundle,assets/aa/Android/0712216814a196703e86303457294400.bundle,TextAsset,1
source,bundle,assets/aa/Android/0730f625e2b95eb41b7feb3f9e523b33.bundle,AssetBundle,1
source,bundle,assets/aa/Android/0730f625e2b95eb41b7feb3f9e523b33.bundle,TextAsset,1
source,bundle,assets/aa/Android/074114b24e9652c437858b88f8ddb71a.bundle,AssetBundle,1
source,bundle,assets/aa/Android/074114b24e9652c437858b88f8ddb71a.bundle,Sprite,1
source,bundle,assets/aa/Android/074114b24e9652c437858b88f8ddb71a.bundle,Texture2D,1
source,bundle,assets/aa/Android/0743a774824b3591eb87eaacb34d8e61.bundle,AssetBundle,1
source,bundle,assets/aa/Android/0743a774824b3591eb87eaacb34d8e61.bundle,Canvas,1
source,bundle,assets/aa/Android/0743a774824b3591eb87eaacb34d8e61.bundle,CanvasGroup,1
source,bundle,assets/aa/Android/0743a774824b3591eb87eaacb34d8e61.bundle,CanvasRenderer,8
source,bundle,assets/aa/Android/0743a774824b3591eb87eaacb34d8e61.bundle,GameObject,10
source,bundle,assets/aa/Android/0743a774824b3591eb87eaacb34d8e61.bundle,MonoBehaviour,13
source,bundle,assets/aa/Android/0743a774824b3591eb87eaacb34d8e61.bundle,MonoScript,5
source,bundle,assets/aa/Android/0743a774824b3591eb87eaacb34d8e61.bundle,RectTransform,10
source,bundle,assets/aa/Android/0743a774824b3591eb87eaacb34d8e61.bundle,Sprite,2
source,bundle,assets/aa/Android/0743a774824b3591eb87eaacb34d8e61.bundle,Texture2D,2
source,bundle,assets/aa/Android/074fd512bba0f12a1ed14fbc66671e52.bundle,AssetBundle,1
source,bundle,assets/aa/Android/074fd512bba0f12a1ed14fbc66671e52.bundle,TextAsset,1
source,bundle,assets/aa/Android/0756a4ad015cc45f99a46a20760f67e0.bundle,AssetBundle,1
source,bundle,assets/aa/Android/0756a4ad015cc45f99a46a20760f67e0.bundle,Sprite,1
source,bundle,assets/aa/Android/0756a4ad015cc45f99a46a20760f67e0.bundle,Texture2D,1
source,bundle,assets/aa/Android/075a9a2a7b418f1b09b444cf001b638e.bundle,AssetBundle,1
source,bundle,assets/aa/Android/075a9a2a7b418f1b09b444cf001b638e.bundle,Sprite,1
source,bundle,assets/aa/Android/075a9a2a7b418f1b09b444cf001b638e.bundle,Texture2D,1
source,bundle,assets/aa/Android/076fab32b33664dea8f7e272515b1aec.bundle,AssetBundle,1
source,bundle,assets/aa/Android/076fab32b33664dea8f7e272515b1aec.bundle,TextAsset,1
source,bundle,assets/aa/Android/07af7ead17b1c913e7a58b74e4fccff3.bundle,AssetBundle,1
source,bundle,assets/aa/Android/07af7ead17b1c913e7a58b74e4fccff3.bundle,AudioClip,1
source,bundle,assets/aa/Android/07c19e1d68359df0f81ec04fec340ce1.bundle,AssetBundle,1
source,bundle,assets/aa/Android/07c19e1d68359df0f81ec04fec340ce1.bundle,TextAsset,1
source,bundle,assets/aa/Android/07dbb703ad9a5e9ff1ddc5325b5d3941.bundle,AssetBundle,1
source,bundle,assets/aa/Android/07dbb703ad9a5e9ff1ddc5325b5d3941.bundle,TextAsset,1
source,bundle,assets/aa/Android/07dc5a9c0f718e86b836a0c0a9cfa37a.bundle,AssetBundle,1
source,bundle,assets/aa/Android/07dc5a9c0f718e86b836a0c0a9cfa37a.bundle,Sprite,1
source,bundle,assets/aa/Android/07dc5a9c0f718e86b836a0c0a9cfa37a.bundle,Texture2D,1
source,bundle,assets/aa/Android/07eb143c8181263ab16ca669e3f8b5aa.bundle,AssetBundle,1
source,bundle,assets/aa/Android/07eb143c8181263ab16ca669e3f8b5aa.bundle,Sprite,1
source,bundle,assets/aa/Android/07eb143c8181263ab16ca669e3f8b5aa.bundle,Texture2D,1
source,bundle,assets/aa/Android/07f13cce1114f0214c5a7f04d8482696.bundle,AssetBundle,1
source,bundle,assets/aa/Android/07f13cce1114f0214c5a7f04d8482696.bundle,Sprite,1
source,bundle,assets/aa/Android/07f13cce1114f0214c5a7f04d8482696.bundle,Texture2D,1
source,bundle,assets/aa/Android/07f8879f37122420e507025c87eecc17.bundle,AssetBundle,1
source,bundle,assets/aa/Android/07f8879f37122420e507025c87eecc17.bundle,TextAsset,1
source,bundle,assets/aa/Android/07fd82e2e3abf0c690cf0feef5d49304.bundle,AssetBundle,1
source,bundle,assets/aa/Android/07fd82e2e3abf0c690cf0feef5d49304.bundle,Sprite,1
source,bundle,assets/aa/Android/07fd82e2e3abf0c690cf0feef5d49304.bundle,Texture2D,1
source,bundle,assets/aa/Android/084d3a20a20b9e60c05b8db16f13d076.bundle,AssetBundle,1
source,bundle,assets/aa/Android/084d3a20a20b9e60c05b8db16f13d076.bundle,AudioClip,1
source,bundle,assets/aa/Android/08788b8b0f1998f6851b74949f2947db.bundle,AssetBundle,1
source,bundle,assets/aa/Android/08788b8b0f1998f6851b74949f2947db.bundle,Sprite,1
source,bundle,assets/aa/Android/08788b8b0f1998f6851b74949f2947db.bundle,Texture2D,1
