trackFolder,trackPath,trackKey,sourceTitle,sourceArtist,IllustrationPath,IllustrationSourceBundlePath,coverageStatus,catalogResourceIds,catalogMatchStatuses,canonicalResourceId,evidence
SnowDesert.WyvernP.0,Assets/Tracks/SnowDesert.WyvernP.0/,Assets/Tracks/SnowDesert.WyvernP.0/Illustration.jpg,SnowDesert,WyvernP,Assets/Tracks/SnowDesert.WyvernP.0/Illustration.jpg,assets/aa/Android/72d7afeb5085cdbb3125545a65ccd871.bundle,covered,01a00093-8e21-79a1-89b1-436fb3e39551,high,01a00093-8e21-79a1-89b1-436fb3e39551,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
SolaggyfeatUzumaki.ShrimpCatsはぁち後藤涼輔.0,Assets/Tracks/SolaggyfeatUzumaki.ShrimpCatsはぁち後藤涼輔.0/,Assets/Tracks/SolaggyfeatUzumaki.ShrimpCatsはぁち後藤涼輔.0/Illustration.jpg,SolaggyfeatUzumaki,ShrimpCatsはぁち後藤涼輔,Assets/Tracks/SolaggyfeatUzumaki.ShrimpCatsはぁち後藤涼輔.0/Illustration.jpg,assets/aa/Android/7035c1f1c79825164f8353adc922f920.bundle,covered,01a00093-8ef8-7972-b0fd-0acec79c8bd8,high,01a00093-8ef8-7972-b0fd-0acec79c8bd8,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
SparkleNewLife.rider.0,Assets/Tracks/SparkleNewLife.rider.0/,Assets/Tracks/SparkleNewLife.rider.0/Illustration.jpg,SparkleNewLife,rider,Assets/Tracks/SparkleNewLife.rider.0/Illustration.jpg,assets/aa/Android/29e03624bfa7eb2c22e7b99fa86788cf.bundle,covered,01a00093-9093-71d7-9630-90e90cd92127,high,01a00093-9093-71d7-9630-90e90cd92127,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
Spasmodic.姜米條颶風元力上人.0,Assets/Tracks/Spasmodic.姜米條颶風元力上人.0/,Assets/Tracks/Spasmodic.姜米條颶風元力上人.0/Illustration.jpg,Spasmodic,姜米條颶風元力上人,Assets/Tracks/Spasmodic.姜米條颶風元力上人.0/Illustration.jpg,assets/aa/Android/d93adfc90e08eda1584334cc2da08b55.bundle,covered,01a00093-9156-799e-849e-b07d5375f432,high,01a00093-9156-799e-849e-b07d5375f432,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
SpeedUp.DarTokki.0,Assets/Tracks/SpeedUp.DarTokki.0/,Assets/Tracks/SpeedUp.DarTokki.0/Illustration.jpg,SpeedUp,DarTokki,Assets/Tracks/SpeedUp.DarTokki.0/Illustration.jpg,assets/aa/Android/6b9858d8671e599483f4abd7190ee275.bundle,covered,01a00093-9269-72a2-b65f-5fc9d42b5958,high,01a00093-9269-72a2-b65f-5fc9d42b5958,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
Spotlight.Ardolf.0,Assets/Tracks/Spotlight.Ardolf.0/,Assets/Tracks/Spotlight.Ardolf.0/Illustration.jpg,Spotlight,Ardolf,Assets/Tracks/Spotlight.Ardolf.0/Illustration.jpg,assets/aa/Android/5c56127b3d6f1d0905aa7322dd8ddad7.bundle,covered,01a00093-9332-79bf-a562-26303e0e23e4,high,01a00093-9332-79bf-a562-26303e0e23e4,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
StardustRAY.kanonevsBlackY.0,Assets/Tracks/StardustRAY.kanonevsBlackY.0/,Assets/Tracks/StardustRAY.kanonevsBlackY.0/Illustration.jpg,StardustRAY,kanonevsBlackY,Assets/Tracks/StardustRAY.kanonevsBlackY.0/Illustration.jpg,assets/aa/Android/f7a63040e7ed11c607d78444f14aa04f.bundle,covered,01a00093-941f-766d-907d-6c7fb1b35142,high,01a00093-941f-766d-907d-6c7fb1b35142,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
Starduster.Quree.0,Assets/Tracks/Starduster.Quree.0/,Assets/Tracks/Starduster.Quree.0/Illustration.jpg,Starduster,Quree,Assets/Tracks/Starduster.Quree.0/Illustration.jpg,assets/aa/Android/6c41c1ee258a7456e69d1b5b71915db2.bundle,covered,01a00093-9520-7850-a1bc-72ed5cf9de2c,high,01a00093-9520-7850-a1bc-72ed5cf9de2c,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
Stasis.Maozon.0,Assets/Tracks/Stasis.Maozon.0/,Assets/Tracks/Stasis.Maozon.0/Illustration.jpg,Stasis,Maozon,Assets/Tracks/Stasis.Maozon.0/Illustration.jpg,assets/aa/Android/7d112d3f029b9bb474e30eb7169a9ed0.bundle,covered,01a00093-95fd-7343-b9dc-ab5c6794664d,high,01a00093-95fd-7343-b9dc-ab5c6794664d,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
SultanRage.MonstDeath.0,Assets/Tracks/SultanRage.MonstDeath.0/,Assets/Tracks/SultanRage.MonstDeath.0/Illustration.jpg,SultanRage,MonstDeath,Assets/Tracks/SultanRage.MonstDeath.0/Illustration.jpg,assets/aa/Android/9899474a9e0da9785cba7ff963f6e8ce.bundle,covered,01a00093-9706-7fd5-bf36-e7bc5f3dbf8a,high,01a00093-9706-7fd5-bf36-e7bc5f3dbf8a,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
