path,fileCount,totalSizeBytes,totalCompressedSizeBytes
assets/songs/dl_ifi,3,903163,903163
assets/songs/dl_ignition,3,964421,964421
assets/songs/dl_ignotus,7,4942552,4942552
assets/songs/dl_ii,7,1142298,1142298
assets/songs/dl_ikazuchi,3,1156989,1156989
assets/songs/dl_impact,3,811081,811081
assets/songs/dl_impurebird,3,698723,698723
assets/songs/dl_incarnator,3,1003901,1003901
assets/songs/dl_incompleteone,3,867485,867485
assets/songs/dl_infinitedim,3,1215898,1215898
assets/songs/dl_infinitestrife,5,2812463,2812463
assets/songs/dl_infinity,3,654970,654970
assets/songs/dl_init,3,773974,773974
assets/songs/dl_innocence,3,890514,890514
assets/songs/dl_internetoverdose,3,860862,860862
assets/songs/dl_internetyamero,3,825352,825352
assets/songs/dl_invain,3,919511,919511
assets/songs/dl_invertedworld,3,840877,840877
assets/songs/dl_ionostream,3,777173,777173
assets/songs/dl_iwantyou,3,755028,755028
assets/songs/dl_izana,3,824911,824911
assets/songs/dl_journey,3,800209,800209
assets/songs/dl_judgement,3,888933,888933
assets/songs/dl_jump,3,900940,900940
assets/songs/dl_kamippoi,3,843850,843850
assets/songs/dl_kanagawa,5,1176658,1176658
assets/songs/dl_kissinglucifer,3,803917,803917
assets/songs/dl_kokoro,3,692329,692329
assets/songs/dl_kyogenkigo,5,1460537,1460537
assets/songs/dl_kyorenromance,3,771617,771617
assets/songs/dl_ladymadestar,3,905335,905335
assets/songs/dl_lamentrain,5,7943982,7943982
assets/songs/dl_lamia,3,791897,791897
assets/songs/dl_lapis,3,678966,678966
assets/songs/dl_laqryma,5,1499014,1499014
assets/songs/dl_last,7,5352794,5352794
assets/songs/dl_lastcelebration,3,904112,904112
assets/songs/dl_lastendconductor,3,872132,872132
assets/songs/dl_lasteternity,3,883734,883734
assets/songs/dl_lastgoodbye,3,520514,520514
assets/songs/dl_lavie,3,786610,786610
assets/songs/dl_lawlesspoint,3,768681,768681
assets/songs/dl_lazyaddiction,3,640914,640914
assets/songs/dl_leaveallbehind,3,691400,691400
