path,fileCount,totalSizeBytes,totalCompressedSizeBytes
assets/songs/senkyou,6,4155564,4103538
assets/songs/shadesoflight,9,4656405,4626262
assets/songs/snowwhite,6,3743430,3717078
assets/songs/theformula,6,4127606,4080908
assets/songs/tutorial,5,3204210,3200321
assets/songs/vexaria,8,3770150,3752984
assets/songs/worldexecuteme,6,4267430,4210642
assets/startup/1080,9,11697852,11697852
assets/startup/download,13,670252,670252
assets/startup/epilogue,3,181051,181051
META-INF/com/android/build,1,56,52
assets/app-data/story/cg,57,32760657,32760657
assets/app-data/story/main,12,1113150,460289
assets/app-data/story/side,20,2335192,985369
assets/app-data/story/vn,242,91266134,90801903
assets/img/1080/arghena,41,13549209,13549209
assets/img/1080/breached,21,3436543,3436543
assets/img/1080/customize,34,1008024,1008024
assets/img/1080/diffswap,8,19127,19127
assets/img/1080/multiplayer,8,106305,106305
assets/img/1080/nell,6,1415530,1415530
assets/img/1080/skills,15,115226,115226
assets/img/bg/1080,274,227119473,227119473
assets/img/course/1080,36,11379544,11379544
assets/img/course/banner,54,2252507,2252507
assets/img/course/expando,36,40766,40766
assets/img/credits/epilogue,29,7790821,7790821
assets/img/finale/diff_buttons,8,61847,61847
assets/img/finale/overview,25,2777701,2777701
assets/img/grade/mini,7,48313,48313
assets/img/multiplayer/stickers,99,13694712,13694712
assets/img/ranking/1080,1,866,866
assets/img/skills/c2,25,72287,72287
assets/img/songselect/1080,45,2494919,2494919
assets/img/songselect/packselect,9,515537,515537
assets/img/story/actselect,22,2934761,2934761
assets/img/world/1080,25,26069304,26069304
assets/img/world/k,3,22674,22674
assets/layouts/1080/alterego,15,165927,165927
assets/layouts/1080/arghena,16,480005,480005
assets/layouts/1080/bannerselect,13,179514,179514
assets/layouts/1080/breached,39,15347260,15347260
assets/layouts/1080/course,8,329475,329475
assets/layouts/1080/customize,3,79806,79806
assets/layouts/1080/ingame,4,201341,201341
assets/layouts/1080/mainmenu,44,3057240,3057240
assets/layouts/1080/missions,28,1349851,1349851
assets/layouts/1080/multiplayer,44,3092846,3092846
assets/layouts/1080/network,22,630707,630707
assets/layouts/1080/pause,9,917007,917007
assets/layouts/1080/profileedit,22,582583,582583
assets/layouts/1080/results,21,4754456,4754456
assets/layouts/1080/songselect,82,2926364,2926364
assets/layouts/1080/story,55,8195908,8195908
assets/layouts/1080/topbar,13,50543,50543
assets/layouts/1080/world,29,904896,904896
assets/layouts/character/v2,15,219631,219631
assets/layouts/character/v2.1,137,2108871,2108871
assets/layouts/dialog/side,3,671408,669444
assets/layouts/finale/major,33,1011351,999551
assets/layouts/finale/minor,40,2339155,2329446
assets/layouts/finale/overview,102,2535640,2535640
assets/layouts/ingame/end,9,931478,926440
assets/layouts/mainmenu/card,10,125546,96013
assets/layouts/mainmenu/character,6,136061,129234
assets/layouts/mainmenu/ifdialog,5,1565937,1563819
assets/layouts/mainmenu/network,77,1441380,1367353
assets/layouts/multiplayer/backsheets,2,2938704,2938704
assets/layouts/multiplayer/ingame,9,154557,154557
assets/layouts/multiplayer/results,12,224410,224410
assets/layouts/multiplayer/sticker_tray,8,329461,329461
assets/layouts/multiplayer/voting,12,483814,483814
assets/layouts/results/coursemode,44,3950545,3938766
assets/layouts/songselect/tempestissimo,16,1017762,1011605
assets/layouts/story/finale,23,1982563,1982563
assets/layouts/world/chapter,11,228429,209474
assets/layouts/world/map,60,2343945,2287049
assets/songs/pack/1080,142,25348420,25348420
assets/startup/download/1080,13,670252,670252
META-INF/com/android/build/gradle,1,56,52
assets/app-data/story/vn/res,186,90556763,90554286
assets/img/1080/skills/djmax,9,46280,46280
assets/img/1080/skills/rotaeno,6,68946,68946
assets/img/course/1080/shutter,6,3464525,3464525
assets/img/course/banner/mini,12,112312,112312
assets/img/finale/overview/song_intro,9,186765,186765
assets/img/songselect/1080/favorites,23,1187059,1187059
assets/layouts/1080/breached/chapter_select,7,491663,491663
assets/layouts/1080/breached/maelstrom,7,10428491,10428491
assets/layouts/1080/breached/map,15,3586314,3586314
assets/layouts/1080/breached/map_select,5,748286,748286
assets/layouts/1080/breached/overview,4,72470,72470
assets/layouts/1080/breached/results,1,20036,20036
assets/layouts/1080/mainmenu/more,11,768733,768733
assets/layouts/1080/mainmenu/update,5,164789,164789
assets/layouts/1080/multiplayer/entrypoint,10,2348295,2348295
assets/layouts/1080/multiplayer/invite,6,86496,86496
assets/layouts/1080/multiplayer/results,7,324618,324618
assets/layouts/1080/network/oauth,14,284662,284662
assets/layouts/1080/results/reward,4,249403,249403
assets/layouts/1080/songselect/cell,2,32293,32293
assets/layouts/1080/songselect/packselect,39,721840,721840
assets/layouts/1080/story/finaleportal,9,6426367,6426367
assets/layouts/1080/story/partner,22,369101,369101
assets/layouts/1080/story/spoiler,3,550630,550630
assets/layouts/1080/world/chapter,6,211680,211680
assets/layouts/1080/world/map,12,497635,497635
assets/layouts/character/v2/details,11,199603,199603
assets/layouts/finale/overview/diff_bar,19,139072,139072
assets/layouts/finale/overview/major,15,470336,470336
assets/layouts/finale/overview/minor,37,1302410,1302410
assets/layouts/finale/overview/no_return,7,374638,374638
assets/layouts/finale/overview/song_intro,19,198764,198764
assets/layouts/mainmenu/network/1080,23,634901,634901
assets/layouts/multiplayer/ingame/V1,4,28354,28354
assets/layouts/results/coursemode/completion,9,2853217,2850122
assets/layouts/story/finale/epilogue,5,1034219,1034219
assets/layouts/world/map/diary,7,1010729,1010729
assets/layouts/world/map/parallel,19,522636,522636
assets/app-data/story/vn/res/epilogue,16,6742609,6742609
assets/app-data/story/vn/res/finale,6,3811104,3811104
assets/app-data/story/vn/res/lephon,26,8308381,8308381
assets/app-data/story/vn/res/meeting,6,1857082,1857082
assets/app-data/story/vn/res/nihil,16,8274095,8274095
assets/app-data/story/vn/res/prelude,8,11156487,11156487
assets/app-data/story/vn/res/vs,10,2577716,2577716
assets/app-data/story/vn/res/zettai,1,595113,595113
assets/layouts/1080/breached/map/complete,4,1929520,1929520
assets/layouts/mainmenu/network/1080/bonus_memory,10,38112,38112
assets/layouts/mainmenu/network/1080/bonus_memory/bonus,5,5506,5506
