assetPath,basename,assetRole,width,height,format,evidence,confidence,publicArchiveSuitability
assets/img/world/k/world-deco.png,world-deco,world-mode-ui-or-effect,44,13,PNG,assets/img/world/k/world-deco.png,Low,Low
assets/img/world/k/world-infinity-swirl.png,world-infinity-swirl,world-mode-ui-or-effect,98,84,PNG,assets/img/world/k/world-infinity-swirl.png,Low,Low
assets/img/world/k/world-infinity.png,world-infinity,world-mode-ui-or-effect,104,103,PNG,assets/img/world/k/world-infinity.png,Low,Low
assets/img/world/parallel-progress-bar-bg.png,parallel-progress-bar-bg,world-mode-ui-or-effect,32,32,PNG,assets/img/world/parallel-progress-bar-bg.png,Low,Low
assets/img/world/parallel-progress-bar-fill.png,parallel-progress-bar-fill,world-mode-ui-or-effect,32,32,PNG,assets/img/world/parallel-progress-bar-fill.png,Low,Low
assets/img/world/parallel-progress-bg.png,parallel-progress-bg,world-mode-ui-or-effect,32,32,PNG,assets/img/world/parallel-progress-bg.png,Low,Low
assets/img/world/winter.jpg,winter,world-mode-ui-or-effect,1280,1280,JPEG,assets/img/world/winter.jpg,Low,Low
assets/img/world/world-regular-boost-tray-bottom-flourish.png,world-regular-boost-tray-bottom-flourish,world-mode-ui-or-effect,177,22,PNG,assets/img/world/world-regular-boost-tray-bottom-flourish.png,Low,Low
assets/img/world/world-regular-boost-tray-closed-button.png,world-regular-boost-tray-closed-button,world-mode-ui-or-effect,242,106,PNG,assets/img/world/world-regular-boost-tray-closed-button.png,Low,Low
assets/img/world/world-regular-boost-tray-opened-button.png,world-regular-boost-tray-opened-button,world-mode-ui-or-effect,242,108,PNG,assets/img/world/world-regular-boost-tray-opened-button.png,Low,Low
