sourcePath,sourceFile,unityVersion,pathId,name,difficulty,errorVariant,catalogKeys,formatVersion,offset,judgeLineCount,noteCount,bpms,textBytes,readError
assets/aa/Android/9aaf01940ca277a7bf550d9945a4f5cd.bundle,9aaf01940ca277a7bf550d9945a4f5cd.bundle,2022.3.62f2,4558308583890953406,Chart_HD,HD,,416fe794e96e645a79fa9a6ca34d3ae2;Assets/Tracks/Aleph0.LeaF.0/Chart_HD.json,3,0.0,6,531,140.0;250.0,322391,
assets/aa/Android/9ab9daae3acdb910e5b476d7c453e8d4.bundle,9ab9daae3acdb910e5b476d7c453e8d4.bundle,2022.3.62f2,-3152626517775934121,Chart_IN,IN,,7b82c77e9a9d4fc4c912f7cbdae08cff;Assets/Tracks/XING.ginkiha.0/Chart_IN.json,3,0.0,20,711,177.0,2350569,
assets/aa/Android/9bee48f1c64f5ebccca2f27eda4cd4ec.bundle,9bee48f1c64f5ebccca2f27eda4cd4ec.bundle,2022.3.62f2,2710909965532273880,Chart_AT,AT,,Assets/Tracks/Spasmodic.姜米條颶風元力上人.0/Chart_AT.json;ba34c2d5c8b014e7c90d6a5c8e1501ab,3,0.0,3,1671,200.0,1060873,
assets/aa/Android/9bf7a8befe18f7b60cd15d78da0e96ad.bundle,9bf7a8befe18f7b60cd15d78da0e96ad.bundle,2022.3.62f2,-2130167374952613807,Chart_EZ,EZ,,31054fe38df7afb4cb5aaa63531724b0;Assets/Tracks/TemporalShifting.LureRabbitVC.0/Chart_EZ.json,3,0.0,4,127,155.0,1111111,
assets/aa/Android/9c3b005a00654a92fa2f06853fa15ee8.bundle,9c3b005a00654a92fa2f06853fa15ee8.bundle,2022.3.62f2,-587307356780375739,Chart_HD,HD,,557f274c5033e7a4ab6130b232ced1a9;Assets/Tracks/贝多芬祝福BeethovenBlessing.Nauts.0/Chart_HD.json,3,0.0,11,445,170.0,152380,
assets/aa/Android/9c9f949ff4b1f3f662b99360af5c11e3.bundle,9c9f949ff4b1f3f662b99360af5c11e3.bundle,2022.3.62f2,-6416416326432591256,Chart_IN,IN,,2e3dfe9c51cb4ed469ee1a8f0e87732b;Assets/Tracks/GOODRAGE.EBIMAYO.0/Chart_IN.json,3,0.0,10,1034,222.0,1043788,
assets/aa/Android/9cfcbec919636d1a5ceb3ab6090295c8.bundle,9cfcbec919636d1a5ceb3ab6090295c8.bundle,2022.3.62f2,8286467785469750755,Chart_IN,IN,,17703b39822f1cc4e83b4952a175e784;Assets/Tracks/Locomotive.K.0/Chart_IN.json,3,0.0,18,666,128.0,3030963,
assets/aa/Android/9d1197fda0ea608bb00a9ad9aab428d9.bundle,9d1197fda0ea608bb00a9ad9aab428d9.bundle,2022.3.62f2,4567503001311774770,Chart_IN,IN,,1c4471cc5de6dd742a7e9970c530983b;Assets/Tracks/WithYou.Cashew.0/Chart_IN.json,3,0.0,16,774,170.0,917892,
assets/aa/Android/9d99c32386bc8408ab6cbca8273240dd.bundle,9d99c32386bc8408ab6cbca8273240dd.bundle,2022.3.62f2,7079080295961647694,Chart_EZ,EZ,,Assets/Tracks/Initialize.iF.0/Chart_EZ.json;d67f52c3c6ea8b24e8f7b3773f6713e2,3,0.0,3,117,128.0,307486,
assets/aa/Android/9dcdceeccecc98b5d824a1e8a7fbc1db.bundle,9dcdceeccecc98b5d824a1e8a7fbc1db.bundle,2022.3.62f2,1459767513976226204,Chart_EZ,EZ,,65289d8df66f2424eaaefad6582545ed;Assets/Tracks/PixelRebelz.Normal1zer.0/Chart_EZ.json,3,0.0,1,285,150.0,687436,
