category,width,height,fileCount
ui-layout,288,259,1
ui-layout,289,23,1
ui-layout,289,36,1
ui-layout,290,139,1
ui-layout,291,291,1
ui-layout,293,126,1
ui-layout,295,294,1
ui-layout,296,296,1
ui-layout,3,325,1
ui-layout,300,69,1
ui-layout,301,116,1
ui-layout,303,434,1
ui-layout,304,305,1
ui-layout,304,326,1
ui-layout,305,121,1
ui-layout,305,5,1
ui-layout,307,241,1
ui-layout,31,107,1
ui-layout,31,21,1
ui-layout,31,744,1
ui-layout,310,368,1
ui-layout,315,63,1
ui-layout,317,66,1
ui-layout,32,32,1
ui-layout,322,120,1
ui-layout,322,243,1
ui-layout,325,120,1
ui-layout,325,163,1
ui-layout,325,550,1
ui-layout,325,69,1
ui-layout,329,107,1
ui-layout,33,33,1
ui-layout,334,346,1
ui-layout,336,181,1
ui-layout,336,336,1
ui-layout,337,81,1
ui-layout,338,66,1
ui-layout,34,41,1
ui-layout,340,769,1
ui-layout,341,49,1
ui-layout,342,138,1
ui-layout,345,27,1
ui-layout,346,56,1
ui-layout,347,347,1
ui-layout,348,14,1
ui-layout,348,174,1
ui-layout,349,33,1
ui-layout,35,19,1
ui-layout,35,33,1
ui-layout,35,47,1
ui-layout,351,2,1
ui-layout,351,3,1
ui-layout,351,51,1
ui-layout,354,20,1
ui-layout,354,387,1
ui-layout,354,77,1
ui-layout,355,82,1
ui-layout,357,88,1
ui-layout,357,93,1
ui-layout,358,357,1
ui-layout,358,61,1
ui-layout,359,97,1
ui-layout,361,314,1
ui-layout,362,127,1
ui-layout,362,60,1
ui-layout,363,363,1
ui-layout,363,555,1
ui-layout,363,73,1
ui-layout,365,38,1
ui-layout,366,366,1
ui-layout,367,416,1
ui-layout,37,29,1
ui-layout,375,39,1
ui-layout,379,371,1
ui-layout,38,31,1
ui-layout,38,36,1
ui-layout,38,44,1
ui-layout,381,122,1
ui-layout,383,86,1
ui-layout,3840,96,1
ui-layout,386,341,1
ui-layout,388,56,1
ui-layout,39,40,1
ui-layout,39,54,1
ui-layout,390,26,1
ui-layout,390,83,1
ui-layout,391,430,1
ui-layout,392,435,1
ui-layout,393,422,1
ui-layout,399,140,1
ui-layout,40,39,1
ui-layout,40,48,1
ui-layout,400,10,1
ui-layout,400,320,1
ui-layout,401,484,1
ui-layout,404,404,1
ui-layout,404,97,1
ui-layout,412,371,1
ui-layout,419,147,1
ui-layout,42,32,1
ui-layout,42,39,1
ui-layout,42,42,1
ui-layout,420,100,1
ui-layout,420,414,1
ui-layout,420,47,1
ui-layout,420,97,1
ui-layout,421,370,1
ui-layout,422,370,1
ui-layout,426,1,1
ui-layout,426,71,1
ui-layout,428,272,1
ui-layout,43,16,1
ui-layout,43,196,1
ui-layout,43,55,1
ui-layout,43,60,1
ui-layout,433,110,1
ui-layout,433,38,1
ui-layout,437,43,1
ui-layout,438,213,1
ui-layout,438,8,1
ui-layout,44,45,1
ui-layout,44,55,1
ui-layout,44,63,1
ui-layout,446,221,1
ui-layout,446,63,1
ui-layout,448,81,1
ui-layout,448,91,1
ui-layout,45,111,1
ui-layout,45,58,1
ui-layout,452,453,1
ui-layout,456,92,1
ui-layout,458,26,1
ui-layout,458,77,1
ui-layout,46,45,1
ui-layout,46,46,1
ui-layout,46,58,1
ui-layout,462,370,1
ui-layout,464,9,1
ui-layout,465,42,1
ui-layout,468,96,1
ui-layout,469,2,1
ui-layout,47,44,1
ui-layout,47,47,1
ui-layout,476,58,1
ui-layout,476,76,1
ui-layout,477,34,1
ui-layout,479,64,1
ui-layout,48,125,1
ui-layout,48,34,1
ui-layout,48,48,1
ui-layout,481,510,1
ui-layout,485,121,1
ui-layout,485,513,1
ui-layout,488,131,1
ui-layout,49,167,1
ui-layout,490,445,1
ui-layout,496,11,1
ui-layout,499,875,1
ui-layout,50,211,1
ui-layout,50,93,1
ui-layout,502,119,1
ui-layout,503,297,1
ui-layout,507,141,1
ui-layout,51,336,1
ui-layout,512,128,1
ui-layout,512,36,1
ui-layout,512,512,1
ui-layout,514,95,1
ui-layout,517,134,1
ui-layout,517,70,1
ui-layout,517,94,1
ui-layout,518,202,1
ui-layout,519,202,1
ui-layout,52,38,1
ui-layout,52,43,1
ui-layout,52,50,1
ui-layout,52,64,1
ui-layout,521,140,1
ui-layout,522,164,1
ui-layout,523,523,1
ui-layout,53,147,1
ui-layout,53,22,1
ui-layout,53,43,1
ui-layout,531,31,1
ui-layout,531,7,1
ui-layout,539,102,1
ui-layout,54,44,1
ui-layout,540,161,1
ui-layout,542,196,1
ui-layout,546,329,1
ui-layout,548,115,1
ui-layout,55,30,1
ui-layout,55,43,1
ui-layout,55,64,1
ui-layout,551,50,1
ui-layout,552,1,1
ui-layout,553,1,1
ui-layout,554,111,1
ui-layout,554,35,1
ui-layout,556,34,1
ui-layout,556,82,1
ui-layout,56,310,1
ui-layout,560,459,1
ui-layout,562,562,1
ui-layout,57,84,1
ui-layout,58,79,1
ui-layout,582,85,1
ui-layout,584,67,1
ui-layout,59,36,1
ui-layout,59,59,1
ui-layout,593,50,1
ui-layout,599,134,1
ui-layout,6,1,1
ui-layout,6,703,1
ui-layout,600,177,1
ui-layout,600,585,1
ui-layout,600,600,1
ui-layout,601,106,1
ui-layout,604,167,1
ui-layout,605,132,1
ui-layout,608,76,1
ui-layout,609,250,1
ui-layout,61,59,1
ui-layout,61,61,1
ui-layout,611,108,1
ui-layout,612,226,1
ui-layout,613,177,1
ui-layout,616,116,1
ui-layout,616,314,1
ui-layout,616,319,1
ui-layout,616,616,1
ui-layout,62,56,1
ui-layout,623,960,1
ui-layout,625,125,1
ui-layout,629,250,1
ui-layout,63,28,1
ui-layout,63,7,1
ui-layout,632,53,1
ui-layout,634,184,1
ui-layout,64,64,1
ui-layout,64,780,1
ui-layout,640,81,1
ui-layout,646,645,1
ui-layout,648,347,1
ui-layout,65,65,1
ui-layout,652,269,1
ui-layout,653,251,1
ui-layout,658,133,1
ui-layout,658,640,1
ui-layout,66,93,1
ui-layout,669,100,1
ui-layout,669,630,1
ui-layout,67,20,1
ui-layout,672,122,1
ui-layout,676,108,1
ui-layout,684,133,1
ui-layout,69,130,1
ui-layout,69,167,1
ui-layout,690,171,1
ui-layout,693,689,1
ui-layout,694,197,1
ui-layout,7,41,1
ui-layout,7,9,1
ui-layout,70,142,1
ui-layout,70,517,1
ui-layout,70,70,1
ui-layout,70,72,1
ui-layout,703,947,1
ui-layout,706,219,1
ui-layout,71,71,1
ui-layout,71,72,1
ui-layout,71,84,1
ui-layout,716,1,1
ui-layout,72,169,1
ui-layout,720,742,1
ui-layout,726,561,1
ui-layout,728,726,1
ui-layout,73,23,1
ui-layout,73,95,1
ui-layout,74,20,1
ui-layout,74,73,1
ui-layout,741,498,1
ui-layout,75,52,1
ui-layout,75,53,1
ui-layout,75,54,1
ui-layout,75,75,1
ui-layout,75,79,1
ui-layout,752,226,1
ui-layout,756,964,1
ui-layout,76,80,1
ui-layout,764,644,1
ui-layout,766,2,1
ui-layout,77,77,1
ui-layout,776,431,1
ui-layout,78,77,1
ui-layout,78,79,1
ui-layout,78,9,1
ui-layout,784,58,1
ui-layout,785,771,1
ui-layout,786,109,1
ui-layout,786,409,1
ui-layout,787,792,1
ui-layout,79,504,1
ui-layout,791,563,1
ui-layout,791,73,1
ui-layout,797,444,1
ui-layout,80,79,1
ui-layout,801,159,1
ui-layout,801,691,1
ui-layout,807,149,1
ui-layout,809,245,1
ui-layout,81,80,1
ui-layout,81,96,1
ui-layout,816,959,1
ui-layout,826,107,1
ui-layout,83,72,1
ui-layout,834,1,1
ui-layout,837,103,1
ui-layout,84,20,1
ui-layout,84,73,1
ui-layout,842,101,1
ui-layout,846,161,1
ui-layout,849,1,1
ui-layout,85,493,1
ui-layout,85,84,1
ui-layout,85,86,1
ui-layout,850,45,1
ui-layout,855,794,1
ui-layout,855,855,1
ui-layout,86,92,1
ui-layout,87,33,1
ui-layout,87,57,1
ui-layout,882,1255,1
ui-layout,889,889,1
ui-layout,89,146,1
ui-layout,89,29,1
ui-layout,897,14,1
ui-layout,897,1440,1
ui-layout,90,33,1
ui-layout,90,92,1
ui-layout,901,110,1
ui-layout,91,102,1
ui-layout,93,133,1
ui-layout,930,147,1
ui-layout,933,552,1
ui-layout,94,31,1
ui-layout,945,304,1
ui-layout,953,1,1
ui-layout,96,135,1
ui-layout,960,720,1
ui-layout,972,3,1
ui-layout,98,109,1
ui-layout,98,118,1
ui-layout,98,44,1
ui-or-game-image,1,185,1
ui-or-game-image,1,216,1
ui-or-game-image,1,256,1
ui-or-game-image,1,3,1
ui-or-game-image,1,308,1
ui-or-game-image,1,310,1
ui-or-game-image,1,32,1
ui-or-game-image,1,350,1
ui-or-game-image,1,44,1
ui-or-game-image,1,51,1
ui-or-game-image,1,538,1
ui-or-game-image,1,650,1
ui-or-game-image,1,686,1
ui-or-game-image,1000,120,1
ui-or-game-image,1006,965,1
ui-or-game-image,102,155,1
ui-or-game-image,102,54,1
ui-or-game-image,1024,1,1
ui-or-game-image,1024,1536,1
ui-or-game-image,1035,354,1
ui-or-game-image,1047,153,1
ui-or-game-image,1047,209,1
ui-or-game-image,105,17,1
ui-or-game-image,1057,335,1
ui-or-game-image,1058,334,1
ui-or-game-image,106,54,1
ui-or-game-image,1071,960,1
ui-or-game-image,1075,1023,1
ui-or-game-image,108,84,1
ui-or-game-image,1084,13,1
ui-or-game-image,1084,96,1
ui-or-game-image,1086,179,1
ui-or-game-image,1090,292,1
ui-or-game-image,1098,226,1
ui-or-game-image,11,11,1
ui-or-game-image,1104,21,1
ui-or-game-image,111,79,1
ui-or-game-image,113,113,1
ui-or-game-image,113,137,1
ui-or-game-image,1132,154,1
ui-or-game-image,1133,13,1
ui-or-game-image,1137,298,1
ui-or-game-image,1143,135,1
ui-or-game-image,1145,213,1
ui-or-game-image,1150,23,1
ui-or-game-image,11520,59,1
ui-or-game-image,1164,647,1
ui-or-game-image,1165,159,1
ui-or-game-image,117,156,1
ui-or-game-image,1174,965,1
ui-or-game-image,1175,298,1
ui-or-game-image,118,119,1
ui-or-game-image,118,156,1
ui-or-game-image,118,35,1
ui-or-game-image,118,490,1
ui-or-game-image,1180,404,1
ui-or-game-image,1188,608,1
ui-or-game-image,1191,13,1
ui-or-game-image,1199,612,1
ui-or-game-image,12,796,1
ui-or-game-image,120,66,1
ui-or-game-image,1205,21,1
ui-or-game-image,121,105,1
ui-or-game-image,121,30,1
ui-or-game-image,121,66,1
ui-or-game-image,1211,960,1
ui-or-game-image,1216,965,1
ui-or-game-image,1228,2,1
ui-or-game-image,123,116,1
ui-or-game-image,1231,191,1
ui-or-game-image,125,117,1
ui-or-game-image,125,125,1
ui-or-game-image,1259,13,1
ui-or-game-image,1259,71,1
ui-or-game-image,126,87,1
ui-or-game-image,1271,152,1
ui-or-game-image,1278,21,1
ui-or-game-image,128,37,1
ui-or-game-image,1280,344,1
ui-or-game-image,1280,476,1
ui-or-game-image,1281,1,1
ui-or-game-image,1281,169,1
ui-or-game-image,1286,1,1
ui-or-game-image,1286,965,1
ui-or-game-image,129,129,1
ui-or-game-image,130,39,1
ui-or-game-image,1339,177,1
ui-or-game-image,135,14,1
ui-or-game-image,136,54,1
ui-or-game-image,137,115,1
ui-or-game-image,14,765,1
ui-or-game-image,140,85,1
ui-or-game-image,1401,491,1
ui-or-game-image,1450,200,1
ui-or-game-image,149,150,1
ui-or-game-image,150,150,1
ui-or-game-image,151,74,1
ui-or-game-image,151,76,1
ui-or-game-image,1520,1440,1
ui-or-game-image,153,125,1
ui-or-game-image,153,60,1
ui-or-game-image,154,152,1
ui-or-game-image,1546,447,1
ui-or-game-image,155,37,1
ui-or-game-image,155,484,1
ui-or-game-image,155,60,1
ui-or-game-image,156,264,1
ui-or-game-image,1560,1,1
ui-or-game-image,1560,291,1
ui-or-game-image,1560,36,1
ui-or-game-image,1560,82,1
ui-or-game-image,1560,960,1
ui-or-game-image,1561,41,1
ui-or-game-image,16,455,1
ui-or-game-image,160,55,1
ui-or-game-image,165,51,1
ui-or-game-image,1666,959,1
ui-or-game-image,1673,31,1
ui-or-game-image,1675,31,1
ui-or-game-image,168,64,1
ui-or-game-image,17,17,1
ui-or-game-image,17,18,1
ui-or-game-image,170,168,1
ui-or-game-image,170,170,1
ui-or-game-image,1708,225,1
ui-or-game-image,1708,367,1
ui-or-game-image,172,81,1
ui-or-game-image,1754,343,1
ui-or-game-image,1781,1440,1
ui-or-game-image,18,18,1
ui-or-game-image,18,34,1
ui-or-game-image,180,81,1
ui-or-game-image,186,52,1
ui-or-game-image,1878,26,1
ui-or-game-image,1900,191,1
ui-or-game-image,1914,1437,1
ui-or-game-image,1920,1920,1
ui-or-game-image,1920,308,1
ui-or-game-image,1920,500,1
ui-or-game-image,1920,580,1
ui-or-game-image,1920,791,1
ui-or-game-image,1920,94,1
ui-or-game-image,193,27,1
ui-or-game-image,197,97,1
ui-or-game-image,2,1,1
ui-or-game-image,20,20,1
ui-or-game-image,200,132,1
ui-or-game-image,201,123,1
ui-or-game-image,202,29,1
ui-or-game-image,204,204,1
ui-or-game-image,2048,2048,1
ui-or-game-image,206,375,1
ui-or-game-image,207,113,1
ui-or-game-image,209,381,1
ui-or-game-image,21,29,1
ui-or-game-image,21,30,1
ui-or-game-image,21,72,1
ui-or-game-image,211,62,1
ui-or-game-image,213,47,1
ui-or-game-image,213,62,1
ui-or-game-image,22,22,1
ui-or-game-image,22,23,1
ui-or-game-image,22,75,1
ui-or-game-image,221,138,1
ui-or-game-image,225,142,1
ui-or-game-image,225,145,1
ui-or-game-image,225,35,1
ui-or-game-image,226,48,1
ui-or-game-image,227,227,1
ui-or-game-image,227,34,1
ui-or-game-image,228,217,1
ui-or-game-image,23,23,1
ui-or-game-image,23,75,1
ui-or-game-image,231,232,1
ui-or-game-image,231,61,1
ui-or-game-image,2322,1122,1
ui-or-game-image,2322,547,1
ui-or-game-image,233,69,1
ui-or-game-image,234,233,1
ui-or-game-image,234,25,1
ui-or-game-image,2340,140,1
ui-or-game-image,239,108,1
ui-or-game-image,24,75,1
ui-or-game-image,241,42,1
ui-or-game-image,241,45,1
ui-or-game-image,241,764,1
ui-or-game-image,241,99,1
ui-or-game-image,245,69,1
ui-or-game-image,247,36,1
ui-or-game-image,248,245,1
ui-or-game-image,25,23,1
ui-or-game-image,25,25,1
ui-or-game-image,25,75,1
ui-or-game-image,252,503,1
ui-or-game-image,2530,33,1
ui-or-game-image,255,38,1
ui-or-game-image,257,257,1
ui-or-game-image,260,263,1
ui-or-game-image,267,268,1
ui-or-game-image,27,27,1
ui-or-game-image,272,272,1
ui-or-game-image,272,99,1
ui-or-game-image,274,55,1
ui-or-game-image,274,69,1
ui-or-game-image,277,326,1
ui-or-game-image,277,45,1
ui-or-game-image,278,278,1
ui-or-game-image,28,28,1
ui-or-game-image,284,260,1
ui-or-game-image,285,1040,1
ui-or-game-image,288,45,1
ui-or-game-image,293,45,1
ui-or-game-image,295,100,1
ui-or-game-image,297,1,1
ui-or-game-image,30,1,1
ui-or-game-image,30,120,1
ui-or-game-image,309,559,1
ui-or-game-image,31,107,1
ui-or-game-image,31,30,1
ui-or-game-image,311,41,1
ui-or-game-image,313,132,1
ui-or-game-image,314,42,1
ui-or-game-image,315,1440,1
ui-or-game-image,315,63,1
ui-or-game-image,316,242,1
ui-or-game-image,317,66,1
ui-or-game-image,32,645,1
ui-or-game-image,322,322,1
ui-or-game-image,324,102,1
ui-or-game-image,329,95,1
ui-or-game-image,333,88,1
ui-or-game-image,336,336,1
ui-or-game-image,338,66,1
ui-or-game-image,34,34,1
ui-or-game-image,349,33,1
ui-or-game-image,355,106,1
ui-or-game-image,360,960,1
ui-or-game-image,362,364,1
ui-or-game-image,371,99,1
ui-or-game-image,375,39,1
ui-or-game-image,375,56,1
ui-or-game-image,378,328,1
ui-or-game-image,378,960,1
ui-or-game-image,38,36,1
ui-or-game-image,380,371,1
ui-or-game-image,39,40,1
ui-or-game-image,39,54,1
ui-or-game-image,390,292,1
ui-or-game-image,391,125,1
ui-or-game-image,393,393,1
ui-or-game-image,40,488,1
ui-or-game-image,402,402,1
ui-or-game-image,41,28,1
ui-or-game-image,41,41,1
ui-or-game-image,414,960,1
ui-or-game-image,416,69,1
ui-or-game-image,418,69,1
ui-or-game-image,42,39,1
ui-or-game-image,42,42,1
ui-or-game-image,420,66,1
ui-or-game-image,423,122,1
ui-or-game-image,425,965,1
ui-or-game-image,43,42,1
ui-or-game-image,43,481,1
ui-or-game-image,43,60,1
ui-or-game-image,432,78,1
ui-or-game-image,4472,4284,1
ui-or-game-image,45,45,1
ui-or-game-image,458,25,1
ui-or-game-image,46,39,1
ui-or-game-image,46,59,1
ui-or-game-image,468,88,1
ui-or-game-image,47,1,1
ui-or-game-image,47,44,1
ui-or-game-image,476,58,1
ui-or-game-image,477,34,1
ui-or-game-image,478,117,1
ui-or-game-image,485,91,1
ui-or-game-image,49,66,1
ui-or-game-image,494,184,1
ui-or-game-image,5,971,1
ui-or-game-image,502,119,1
ui-or-game-image,518,202,1
ui-or-game-image,519,165,1
ui-or-game-image,524,265,1
ui-or-game-image,53,43,1
ui-or-game-image,530,377,1
ui-or-game-image,532,38,1
ui-or-game-image,534,55,1
ui-or-game-image,539,103,1
ui-or-game-image,540,107,1
ui-or-game-image,548,173,1
ui-or-game-image,549,123,1
ui-or-game-image,556,32,1
ui-or-game-image,56,2,1
ui-or-game-image,560,123,1
ui-or-game-image,565,160,1
ui-or-game-image,57,57,1
ui-or-game-image,57,84,1
ui-or-game-image,574,640,1
ui-or-game-image,58,51,1
ui-or-game-image,58,90,1
ui-or-game-image,596,596,1
ui-or-game-image,6,1,1
ui-or-game-image,60,23,1
ui-or-game-image,600,57,1
ui-or-game-image,608,76,1
ui-or-game-image,609,250,1
ui-or-game-image,62,76,1
ui-or-game-image,622,718,1
ui-or-game-image,622,86,1
ui-or-game-image,627,143,1
ui-or-game-image,629,250,1
ui-or-game-image,63,489,1
ui-or-game-image,63,62,1
ui-or-game-image,633,127,1
ui-or-game-image,64,512,1
ui-or-game-image,64,62,1
ui-or-game-image,65,164,1
ui-or-game-image,65,65,1
ui-or-game-image,650,57,1
ui-or-game-image,66,66,1
ui-or-game-image,668,121,1
ui-or-game-image,67,1,1
ui-or-game-image,67,68,1
ui-or-game-image,67,93,1
ui-or-game-image,676,108,1
ui-or-game-image,680,46,1
ui-or-game-image,686,686,1
ui-or-game-image,69,66,1
ui-or-game-image,71,64,1
ui-or-game-image,727,99,1
ui-or-game-image,73,107,1
ui-or-game-image,73,23,1
ui-or-game-image,734,960,1
ui-or-game-image,740,959,1
ui-or-game-image,741,742,1
ui-or-game-image,746,142,1
ui-or-game-image,753,109,1
ui-or-game-image,754,138,1
ui-or-game-image,754,737,1
ui-or-game-image,76,28,1
ui-or-game-image,772,140,1
ui-or-game-image,776,431,1
ui-or-game-image,778,136,1
ui-or-game-image,78,739,1
ui-or-game-image,78,740,1
ui-or-game-image,783,89,1
ui-or-game-image,785,37,1
ui-or-game-image,79,79,1
ui-or-game-image,792,297,1
ui-or-game-image,794,794,1
ui-or-game-image,80,80,1
ui-or-game-image,81,743,1
ui-or-game-image,818,336,1
ui-or-game-image,82,82,1
ui-or-game-image,82,99,1
ui-or-game-image,822,93,1
ui-or-game-image,83,506,1
ui-or-game-image,832,687,1
ui-or-game-image,833,159,1
ui-or-game-image,838,149,1
ui-or-game-image,852,162,1
ui-or-game-image,855,855,1
ui-or-game-image,86,85,1
ui-or-game-image,865,614,1
ui-or-game-image,865,71,1
ui-or-game-image,880,960,1
ui-or-game-image,9,13,1
ui-or-game-image,9,14,1
ui-or-game-image,90,495,1
ui-or-game-image,92,92,1
ui-or-game-image,934,76,1
ui-or-game-image,94,31,1
ui-or-game-image,945,304,1
ui-or-game-image,946,161,1
ui-or-game-image,947,374,1
ui-or-game-image,947,965,1
ui-or-game-image,95,126,1
ui-or-game-image,95,36,1
ui-or-game-image,95,38,1
ui-or-game-image,953,72,1
ui-or-game-image,957,174,1
ui-or-game-image,961,258,1
ui-or-game-image,97,146,1
ui-or-game-image,981,231,1
ui-or-game-image,993,161,1
world-mode,1,419,1
world-mode,104,103,1
world-mode,1072,252,1
world-mode,1280,1280,1
world-mode,1569,921,1
world-mode,177,22,1
world-mode,1920,2297,1
world-mode,1920,500,1
world-mode,2000,1090,1
world-mode,2000,1097,1
world-mode,2000,1149,1
world-mode,2000,1154,1
world-mode,2022,3425,1
world-mode,2048,2048,1
world-mode,2074,3686,1
world-mode,2106,3744,1
world-mode,2342,302,1
world-mode,242,106,1
world-mode,242,108,1
world-mode,3072,3072,1
world-mode,44,13,1
world-mode,53,53,1
world-mode,543,544,1
world-mode,62,219,1
world-mode,650,167,1
world-mode,651,167,1
world-mode,700,167,1
world-mode,810,167,1
world-mode,98,84,1
