chapterOrder,chapterCode,banner,songOrder,songsId,songsKey,songsName,composer,category,unlockType,secretType,levels,difficulty,illustrator,charter
1,Single,Single,46,ShineAfter.ADeanJocularACE.0,Shine After,Shine After,ADean & JocularACE,extraSongs,1,0,EZ|HD|IN|AT,4.0|9.7|14.6|0.0,海里狄七 feat. 存艺,Su1fuR|Su1fuR|Salt & Uvernight|
1,Single,Single,47,PRAGMATISMRESURRECTION.Laur.0,PRAGMATISM -RESURRECTION-,PRAGMATISM -RESURRECTION-,Laur,extraSongs,1,0,EZ|HD|IN|AT,7.5|12.9|16.0|16.6,シエラ (Design: 祈莲),完璧 [WARNING: DRAG OVERLOAD]|完璧 × 北星|-NerSAN & Su1fuR-|THE LAST 198
1,Single,Single,48,Antithese.Blacklolita.0,Antithese,Antithese,Blacklolita,extraSongs,1,0,EZ|HD|IN|AT,4.5|10.8|15.4|16.4,釜飯轟々丸 + jht (Design: 祈莲),SeveredEntity (BlindForest vs. rN) feat. Δ|Δ (M3d1uM vs. Salt)|StupiGGy -The Origin-|弧光
1,Single,Single,49,BRAINHACKER.SOMON.0,BRAIN HACKER,BRAIN HACKER,SOMON,extraSongs,1,0,EZ|HD|IN|AT,4.5|9.3|14.8|0.0,SOMON,BLACK CTYMAX|COLORFUL CTYMAX|COLORFUL BLACK GAUSBON|
1,Single,Single,50,BrokenSky.JungoMAX3feat刘佳宜Snow幻影刃shadow.0,Broken Sky,Broken Sky,Jungo & MAX 3 feat. 刘佳宜Snow & 幻影刃shadow,extraSongs,1,0,EZ|HD|IN|AT,3.0|8.6|13.3|0.0,午苔veeee~,Clutter|Clutter|Su1fuR|
1,Single,Single,51,CrushBETA.shadow_bling.0,Crush BETA,Crush BETA,shadow_bling,extraSongs,1,0,EZ|HD|IN|AT,4.0|10.5|15.1|0.0,笔记RE,Clutter BETA|Crush βETA|Timi今天吃神马|
1,Single,Single,52,GVNGlitterVomitusandNeon.SaltySaltUnfold33.0,"G.V.N. (Glitter,Vomitus and Neon)","G.V.N. (Glitter,Vomitus and Neon)",Salty Salt & Unfold33,extraSongs,1,0,EZ|HD|IN|AT,5.0|9.9|15.8|0.0,祈莲,B.B.M.|B.B.M.|A.S.H.|
1,Single,Single,53,聖夜讃歌.A39沙包P.0,聖夜讃歌,聖夜讃歌,A-39/沙包P,extraSongs,1,0,EZ|HD|IN|AT,4.5|10.1|15.2|0.0,绀屋,爽夜讃歌|爽夜讃歌|NerSANTA & Gausbell|
1,Single,Single,54,bye.DingerBox.0,bye,bye,DingerBox,extraSongs,1,0,EZ|HD|IN|AT,4.0|9.1|14.8|0.0,海产,Likey|Likey|Ner ~ See you next time ~|
1,Single,Single,55,Bitterblossom.imvi.0,Bitterblossom,Bitterblossom,imvi,extraSongs,1,0,EZ|HD|IN|AT,2.5|9.9|13.5|0.0,鲸弑,Su1fuR|Barbarianerman|百九十八|
1,Single,Single,56,DiamondEyes.SYNTHETIC.0,Diamond Eyes,Diamond Eyes,SYNTHETIC,extraSongs,1,0,EZ|HD|IN|AT,3.5|6.5|13.4|0.0,彗星 feat. 祈莲,Su1fuR|Su1fuR|Clutter|
1,Single,Single,57,TriumphRegret.typeMARS.0,Triumph & Regret,Triumph & Regret,typeMARS,extraSongs,1,0,EZ|HD|IN|AT,5.0|10.3|15.0|0.0,何呵,Barbarianerman & Regret|Barbarianerman & Regret|TimiTini & HaraKuma|
1,Single,Single,58,ぱぴぷぴぷぴぱ.ころねぽちWith立秋.0,ぱぴぷぴぷぴぱ,ぱぴぷぴぷぴぱ,ころねぽち With 立秋,extraSongs,1,0,EZ|HD|IN|AT,5.0|12.3|15.9|0.0,上倉エク,ParParianerman|ParParianerman|さるふるふるさ|
