coverName,key,bundle,assetTypes,sourceFile,objectName,width,height,format
SHINOBISLASHBlur,Assets/Tracks/#ChapterCover/SHINOBISLASHBlur.jpg,2955becf27a434661d84c6f9bed23aab.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,2955becf27a434661d84c6f9bed23aab.bundle,SHINOBISLASHBlur,1024,540,3
SideStory1,Assets/Tracks/#ChapterCover/SideStory1.jpg,835d5bfd77d3595cea219375890026bc.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,835d5bfd77d3595cea219375890026bc.bundle,SideStory1,1024,540,3
SideStory1Blur,Assets/Tracks/#ChapterCover/SideStory1Blur.jpg,9d818a7f13f567bd6a4481a234e4dbba.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,9d818a7f13f567bd6a4481a234e4dbba.bundle,SideStory1Blur,1024,540,3
SideStory2,Assets/Tracks/#ChapterCover/SideStory2.jpg,151f91e1f7b4b2f8cd0caeb3ff104b9e.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,151f91e1f7b4b2f8cd0caeb3ff104b9e.bundle,SideStory2,1024,540,3
SideStory2Blur,Assets/Tracks/#ChapterCover/SideStory2Blur.jpg,23ca728c7b1a84e8734bbe2e36edaa9d.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,23ca728c7b1a84e8734bbe2e36edaa9d.bundle,SideStory2Blur,1024,540,3
SideStory3,Assets/Tracks/#ChapterCover/SideStory3.jpg,14c6bb30d16aed0354e89add9a6dc21a.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,14c6bb30d16aed0354e89add9a6dc21a.bundle,SideStory3,1024,540,3
SideStory3Blur,Assets/Tracks/#ChapterCover/SideStory3Blur.jpg,6a62034f2f018f97387b0c2f4ec8e6a6.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,6a62034f2f018f97387b0c2f4ec8e6a6.bundle,SideStory3Blur,1024,540,3
SideStory4,Assets/Tracks/#ChapterCover/SideStory4.jpg,ae6fe0e99c8e73c334c72afbc4f6a8fd.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,ae6fe0e99c8e73c334c72afbc4f6a8fd.bundle,SideStory4,1024,540,3
SideStory4Blur,Assets/Tracks/#ChapterCover/SideStory4Blur.jpg,4ac79918dc62ffdbde20d44bb8c31848.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,4ac79918dc62ffdbde20d44bb8c31848.bundle,SideStory4Blur,1024,540,3
Single,Assets/Tracks/#ChapterCover/Single.jpg,4c0559b64d4f04a5bb571669161de20d.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,4c0559b64d4f04a5bb571669161de20d.bundle,Single,1024,540,3
SingleBlur,Assets/Tracks/#ChapterCover/SingleBlur.jpg,ef15abf7f6897d5fd5577aaf375e93b4.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,ef15abf7f6897d5fd5577aaf375e93b4.bundle,SingleBlur,1024,540,3
TAKUMI3,Assets/Tracks/#ChapterCover/TAKUMI3.jpg,a7b16b4288e2ac94f0f3e6d4c59be06c.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,a7b16b4288e2ac94f0f3e6d4c59be06c.bundle,TAKUMI3,1024,540,3
TAKUMI3Blur,Assets/Tracks/#ChapterCover/TAKUMI3Blur.jpg,f6daca8dd9ba55d106bfeefc3d6de7cb.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,f6daca8dd9ba55d106bfeefc3d6de7cb.bundle,TAKUMI3Blur,1024,540,3
TEA12,Assets/Tracks/#ChapterCover/TEA12.jpg,eaf908cffa33cdb4ea6634a1ed65c4a8.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,eaf908cffa33cdb4ea6634a1ed65c4a8.bundle,TEA12,1024,540,3
TEA12Blur,Assets/Tracks/#ChapterCover/TEA12Blur.jpg,039d88335e36051d276d0cb5fe10db7f.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,039d88335e36051d276d0cb5fe10db7f.bundle,TEA12Blur,1024,540,3
WAVEAT,Assets/Tracks/#ChapterCover/WAVEAT.jpg,5fb0ec5d8b1ac2d511b1e0abd36b092b.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,5fb0ec5d8b1ac2d511b1e0abd36b092b.bundle,WAVEAT,1024,540,3
WAVEATBlur,Assets/Tracks/#ChapterCover/WAVEATBlur.jpg,39029490eb70195ecd375e8bbd416d86.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,39029490eb70195ecd375e8bbd416d86.bundle,WAVEATBlur,1024,540,3
闫东炜,Assets/Tracks/#ChapterCover/闫东炜.jpg,ac941075686c1aaae6b59df5b33da83b.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,ac941075686c1aaae6b59df5b33da83b.bundle,闫东炜,1024,540,3
闫东炜Blur,Assets/Tracks/#ChapterCover/闫东炜Blur.jpg,1df225e2d0843567011ecd23c6021c4d.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,1df225e2d0843567011ecd23c6021c4d.bundle,闫东炜Blur,1024,540,3
