status,path,olderType,newerType,olderSha256,newerSha256
removed,res/u01.xml,AndroidBinaryXML,,8d1b064a38d86fcda815d43ad0c06e4246f88c5caf7fb558a13ae8541cda4a8c,
changed,AndroidManifest.xml,AndroidBinaryXML,AndroidBinaryXML,721c45665630af837a2646c21e0af2f60168688d3e5a7e0cdaaebf1a6dd2a16b,35492a85377ce3773f042d9b6ca1ce1dd6e2906a77e7e6b2afdbe2287a9f70b6
changed,assets/Fonts/L2-Light.ttf,Binary,Binary,5c96b7ce87eb113260a8e50539cccd3593063d6d2407a778f70fd510e8b2db6e,88927c03e32d017b75b2c50a2cf12cba251f39003287ad0b095115f2e7c8686a
changed,assets/Fonts/L2-Regular.ttf,Binary,Binary,a669b7654367dd8b38a401c0c49b9f68bd293884f9f1794fcc839b1eaf7febb8,a6fa3498ab28fa9dabc544f53568a4e8a9a1e8ba12e1b69fb6309e991becff0a
changed,assets/Fonts/L2-Semibold.ttf,Binary,Binary,e9f78a2dab5bb5d70c3727dd0511df692ba4c72bdbea35c6382067421f831820,703ea5753e8c150dcd75a3b12ee05f6e97b24b18e9d442c3be713a9327ebb9b9
changed,assets/Fonts/NanumBarunGothic-Bold.otf,Binary,Binary,c7b52707e1429fc1e6f80b9c7923faba5e0a9dc9269546fe8e073f049c1a3c4c,08af3a60931c2d51fd27e93fe7c5bb2ebea5cf57821840af45a2d753b080a97c
changed,assets/Fonts/NanumBarunGothic-Light.otf,Binary,Binary,23aa164b45db2a6a1a9e37ed8dce157ebdfa03155e7e68e239cc5fd8ae904cb5,8a7ed434274e4568cbc39e1e0bb4402714267dafee64ca4d8993c027512407ee
changed,assets/Fonts/NanumBarunGothic-Regular.otf,Binary,Binary,ce47192a67715d99a6cf57664e988dcf543132b4c2888a9f7efdcb271e514b0b,74852b152f9343ff7601e03fbb9e5369c10fefa41ae1edf072c3038cc2039f11
changed,assets/Fonts/NotoSansCJKsc-Bold.otf,Binary,Binary,8c867dacea1e18e38f9a6f09d70d13e1722885c294493001d1d8154b584032a2,937fa6da03bb068770d4d3310b0880dc4dcabd1f92f6f21f05395f59849211c8
changed,assets/Fonts/NotoSansCJKsc-Light.otf,Binary,Binary,7cbfc540f128051cbf19fd0aa7e5f1eee9fe027ab8f82405d90c0ac5f7656e59,9f09483756a936b632a27caafcdf5342d72621cb8a3aa44219b7eb64b563aa60
changed,assets/Fonts/NotoSansCJKsc-Regular.otf,Binary,Binary,59cf9f7ad83ad3d838ccc127438a9fccc6815be98a2b0b6657feab91cfac44e1,3492b9e14d6333c71d49977e6ed080ef687b245cab8bbb9284b1b11c91a3e9c8
changed,assets/Fonts/NotoSansCJKtc-Bold.otf,Binary,Binary,71f387282e70537fe0d804b95af039eb5c49a210469cde4aab98453455393ce0,250e67ff57a036756c955bdfd2d002c34aab285e460171254cd484c8e35824d2
changed,assets/Fonts/NotoSansCJKtc-Light.otf,Binary,Binary,f31e841eb432ef06affc6a29c08a967c17c6bf3853502b0dd46e4253c124efa6,e6b5a05eaa842116c1ac0a26654e98d4c286dc2a2cb0274ab6b905e2f1925b1b
changed,assets/Fonts/NotoSansCJKtc-Regular.otf,Binary,Binary,cda8cdb0931c34981574969943c1fe06e24e8e57d04db6af15561e1862ccf510,e62656b68607867984b941cfd97dd0e8c701e4212d5c066e7677b13bfb1fa672
changed,assets/dexopt/baseline.prof,Binary,Binary,a86599e759f1f8697d8bdbc78acbc3e18bfe3029c4ea5e0f17ebc37e140e9559,f741a3c4bee234a15ab3758d9e3643f457c4a2577ef44ab042fdbf5688f61924
