sourcePath,sourceFile,unityVersion,pathId,name,width,height,textureFormat,catalogKeys,readError
assets/aa/Android/060e612971adde818a786490fa19c992.bundle,060e612971adde818a786490fa19c992.bundle,2022.3.62f2,-4107460784413181595,IllustrationBlur,256,135,3,3a414dea5440ec44a8412899da0efc37;Assets/Tracks/cryout.JuE.0/IllustrationBlur.jpg,
assets/aa/Android/06b93cb45dba639983727bf4701e1b5c.bundle,06b93cb45dba639983727bf4701e1b5c.bundle,2022.3.62f2,5489598021143299559,IllustrationBlur,256,135,3,8547f254f25398348ac8aeab6b0237c3;Assets/Tracks/dBdoll.YUESTEVENuen.0/IllustrationBlur.jpg,
assets/aa/Android/06ba21e29e889de5276879dfeab60c94.bundle,06ba21e29e889de5276879dfeab60c94.bundle,2022.3.62f2,5681751037977844610,IllustrationLowRes,512,270,3,58c8d2fa1a0ed1e4e86356f210a65ccc;Assets/Tracks/Upshift.Iriss-Frantzz.0/IllustrationLowRes.jpg,
assets/aa/Android/07039e3fb4f80d12cfb26702aa3be559.bundle,07039e3fb4f80d12cfb26702aa3be559.bundle,2022.3.62f2,-4747774945004033815,Illustration,2048,1080,3,413cb5c763f2fac46a460274aa9544c2;Assets/Tracks/インフェルノシティ.Ponchifeatはぁち.0/Illustration.jpg,
assets/aa/Android/074114b24e9652c437858b88f8ddb71a.bundle,074114b24e9652c437858b88f8ddb71a.bundle,2022.3.62f2,-4809950167378008940,IllustrationBlur,256,135,3,6d56d499512198f49a94d60deb9049c8;Assets/Tracks/XING.ginkiha.0/IllustrationBlur.jpg,
assets/aa/Android/0743a774824b3591eb87eaacb34d8e61.bundle,0743a774824b3591eb87eaacb34d8e61.bundle,2022.3.62f2,3729447339927010172,Glow,256,1,4,7c06cab5667254a4ebe9a5f1296b0596;LevelMod/HPDisplay,
assets/aa/Android/0743a774824b3591eb87eaacb34d8e61.bundle,0743a774824b3591eb87eaacb34d8e61.bundle,2022.3.62f2,5946981475214828636,slash,1920,1080,47,7c06cab5667254a4ebe9a5f1296b0596;LevelMod/HPDisplay,
assets/aa/Android/0756a4ad015cc45f99a46a20760f67e0.bundle,0756a4ad015cc45f99a46a20760f67e0.bundle,2022.3.62f2,-5710854907290535741,Illustration,2048,1080,3,7190027cc2c2a3046ac3d9fbea12db5d;Assets/Tracks/Chronomia.Lime.0/Illustration.jpg,
assets/aa/Android/075a9a2a7b418f1b09b444cf001b638e.bundle,075a9a2a7b418f1b09b444cf001b638e.bundle,2022.3.62f2,7242525182725018929,IllustrationBlur,256,135,3,2186da267c0b06b40bb94857117639bb;Assets/Tracks/QuantumHyperspace.D_AAN.0/IllustrationBlur.jpg,
assets/aa/Android/07dc5a9c0f718e86b836a0c0a9cfa37a.bundle,07dc5a9c0f718e86b836a0c0a9cfa37a.bundle,2022.3.62f2,572756908634234063,IllustrationBlur,256,135,3,8acd04b356a47cd45974e70df636f1cb;Assets/Tracks/RIPPER.Friedwav.0/IllustrationBlur.jpg,
assets/aa/Android/07eb143c8181263ab16ca669e3f8b5aa.bundle,07eb143c8181263ab16ca669e3f8b5aa.bundle,2022.3.62f2,6042890217037915330,Illustration,2048,1080,3,66a6a9a7e8ca85d4f9b7ef8f9b06737e;Assets/Tracks/月詠に鳴る.Feryquitousfeat藍月なくる.0/Illustration.jpg,
assets/aa/Android/07f13cce1114f0214c5a7f04d8482696.bundle,07f13cce1114f0214c5a7f04d8482696.bundle,2022.3.62f2,-5436352972056462620,MainStory7,1024,540,3,Assets/Tracks/#ChapterCover/MainStory7.jpg;be05d603ea99a7e49b6c46a55e0ba13d,
assets/aa/Android/07fd82e2e3abf0c690cf0feef5d49304.bundle,07fd82e2e3abf0c690cf0feef5d49304.bundle,2022.3.62f2,-1344369345636492472,IllustrationBlur,256,135,3,Assets/Tracks/大和撫子WildDances.adapatorvsDRIVE.0/IllustrationBlur.jpg;fe8c0412497d5ee4eb6d2ce7bc93bc6f,
assets/aa/Android/08788b8b0f1998f6851b74949f2947db.bundle,08788b8b0f1998f6851b74949f2947db.bundle,2022.3.62f2,581902677693340379,IllustrationBlur,256,135,3,549aaf69e7310a54bbcb40caec26ca6b;Assets/Tracks/混乱Confusion.OnlyMyBlackScore.0/IllustrationBlur.jpg,
